Country,Institution,Type,Project,Amount (in USD),Financial Close,Region,Recipient Country,Recipient Subregion,Project Sponsor,Construction Company,Generator Manufacturer,Source 1,Notes,Source 2,Source 3,Sector Group,Sector,Plant Type,Total Project Value ,Status,Power Plant Size (MW) or Share ,Annual Emissions (MMTCO2),Lifetime Emissions (MMTCO2) ,Coal Mine Size (Mtpa) ,Full MW Size ,Parent Company,SSS Manufacturer,Turbine Manufacturer,Architechture/Engineering,GPPD ID,Latitude,Longitude,Location Source
China,China Co-financing Fund for Latin America and the Caribbean,Other Public Financer,Sky Solar's Uruguay PV portfolio (69.9MW),"$19,300,000 ",11/22/2016,Latin America & Caribbean,Uruguay,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Photovoltaic Solar,,,Financial Close,,,,,,,,,,,,,
Multilateral,Inter-American Development Bank,Multilateral,Sky Solar's Uruguay PV portfolio (69.9MW),"$55,700,000 ",11/22/2016,Latin America & Caribbean,Uruguay,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Photovoltaic Solar,,,Financial Close,34.95,,,,35,,,,,,,,
South Korea,Export-Import Bank of Korea (Kexim),Export Credit & Insurance,Song hau 1 Power Plant (1200MW),"$480,000,000 ",11/23/2016,Southeast Asia,Vietnam,Hau Giang,PetroVietnam,PTSC,DOOSAN,http://nangluongvietnam.vn/news/en/electricity/signing-the-credit-and-commercial-loan-contracts-for-song-hau-1-thermal-power-project.html,,https://www.koreaexim.go.kr/site/program/board/basicboard/list?boardtypeid=18&menuid=002002004005,,Coal Power Plant,Coal Power Plant - New,Supercritical,,Financial Close,600,0.68,27,,,PETROVIETNAM,DOOSAN,DOOSAN,PET-VIET,,9.95266,105.86071,GCPT
South Korea,Korea Trade Insurance Corporation (K-sure),Export Credit & Insurance,Song hau 1 Power Plant (1200MW),"$507,000,000 ",11/23/2016,Southeast Asia,Vietnam,Hau Giang,PetroVietnam,PTSC,DOOSAN,http://nangluongvietnam.vn/news/en/electricity/signing-the-credit-and-commercial-loan-contracts-for-song-hau-1-thermal-power-project.html,,https://ijglobal.com/data/transaction/35185/song-hau-1-coal-fired-power-plant-1200mw,,Coal Power Plant,Coal Power Plant - New,Supercritical,,Financial Close,600,0.68,27,,,PETROVIETNAM,DOOSAN,DOOSAN,PET-VIET,,9.95266,105.86071,GCPT
Multilateral,Asian Development Bank (ADB),Multilateral,Pacific Renewable Energy Investment Facility    ,"$3,200,000 ",11/24/2016,Oceania,"East Asia & Pacific, regional",,Asian Development Bank,,,Oil Change International’s Shift the Subsidies Database,,https://www.adb.org/projects/49450-001/main#project-pds,,Renewables,Renewables - Clean,,,,,,,,,,,,,,,,
China,China Silk Road Fund,Other Public Financer,Hassyan Coal‐Fired Power Plant Phase 1 (2400MW),"$127,800,000 ",11/30/2016,Middle East & North Africa,United Arab Emirates,Dubai,"ACWA Power, Harbin Power, and Dubai Electricity & Water Authority",HARBIN,ALSTOM,IJ Global: Project Finance and Infrastructure Journal,,http://xn--boq62d51cyxaz4fmxkbmd48z5vk36g7mttvnup4ddz0a2ea.com/en.php/News/news_1_view/id/2064,http://www.sinosure.com.cn/sinosure/xwzx/xwgj/images/20160126/33250.pdf ,Coal Power Plant,Coal Power Plant - New,Ultrasupercritical,,Financial Close,480,0.55,22,,,DUBAI ELEC & WATER AUTH (DEWA),ALSTOM,ALSTOM,HARBIN,,,,
Multilateral,Inter-American Development Bank,Multilateral,Support Sustainable Energy Program for Development,"$350,000 ",11/30/2016,Latin America & Caribbean,Paraguay,,AdministraciÃ³n Nacional de Electricidad de Paraguay,,,Oil Change International’s Shift the Subsidies Database,,"http://www.iadb.org/en/projects/project-description-title,1303.html?id=PR-T1223    

http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1158609081-2",,Renewables,Mixed,,,,,,,,,,,,,,,,
Multilateral,World Bank - IBRD/IDA,Multilateral,Second Programmatic Energy and Water Sector Reforms DPL,"$63,000,000 ",12/1/2016,Middle East & North Africa,Jordan,,,,,World Bank Project Database Project Number: P160236,"Renewable Energy Solar 14%
Renewable Energy Wind 14%",http://projects.worldbank.org/P160236?lang=en&tab=details,,Renewables,"Solar, Wind",,,Financial Close,,,,,,,,,,,,,
United States,Overseas Private Investment Corporation,Other Public Financer,Sidrap Wind Farm (75MW),"$120,000,000 ",12/1/2016,Southeast Asia,Indonesia,, PT UPC Sidrap Bayu Energi ,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Onshore Wind,,,Financial Close,75,,,,75,,,,,,,,
Germany,Kreditanstalt für Wiederaufbau (KfW),Other Public Financer,Gold of Suez Wind Farm,"$76,400,000 ",12/2/2016,Middle East & North Africa,Egypt,,Egyptian Ministry of International Cooperation,,,https://www.kfw.de/KfW-Group/Newsroom/Aktuelles/Pressemitteilungen/Pressemitteilungen-Details_388480.html,"The total costs of the wind farm including the associated infrastructure amount to EUR 340 million, of which KfW's share is EUR 72 million. The wind farm will have a capacity of 200 to 250 MW and supply power to 370,000 people. In addition, savings of roughly 300,000 tonnes of CO2 will be made. The wind farm will make a material contribution to the Egyptian renewable energy expansion plan, according to which 20 percent of Egyptian electricity generating capacity should come from renewable energies by 2022. Converted 72 million Euros to USD. ",,,Renewables,Onshore Wind,,,Financial Close,225,,,,225,,,,,,,,
Multilateral,Asian Development Bank (ADB),Multilateral,Grid-Parity Rooftop Solar Project   ,"$43,564,000 ",12/2/2016,Southeast Asia,Thailand,,Thai-Sunseap Asset Company Limited,,,Oil Change International’s Shift the Subsidies Database,,"https://www.adb.org/sites/default/files/project-document/214741/49087-001-rrp.pdf    

https://www.adb.org/sites/default/files/institutional-document/237881/od-appendix3.pdf    

https://www.treasury.gov/resource-center/international/development-banks/Documents/December16.pdf (see December 2, 2016)",,Renewables,Solar,,,,,,,,,,,,,,,,
Multilateral,Asian Development Bank (ADB),Multilateral,Promoting and Scaling Up Solar Photovoltaic Power through Knowledge Management and Pilot Testing in Bangladesh and Nepal    ,"$200,000 ",12/5/2016,South Asia,"South Asia, regional (Bangladesh and Nepal)",,Governments of Bangladesh and Nepal,,,Oil Change International’s Shift the Subsidies Database,,https://www.adb.org/projects/49103-001/main#project-pds,,Renewables,Solar,,,,,,,,,,,,,,,,
France,Agence Francaise de Development - Proparco,Other Public Financer,Ten Merina Solar PV Plant (30MW),"$20,240,000 ",12/6/2016,Sub-Saharan Africa,Senegal,,,,,https://www.proparco.fr/en/senegal-confirmation-boom-solar-power,,https://ijglobal.com/data/transaction/37121/ten-merina-solar-pv-plant-30mw,,Renewables,Photovoltaic Solar,,,Financial Close,15,,,,15,,,,,,,,
United States,Overseas Private Investment Corporation,Other Public Financer,Ten Merina Solar PV Plant (30MW),"$2,960,000 ",12/6/2016,Sub-Saharan Africa,Senegal,,Ten Merina Ndakhar SA,,,https://www.opic.gov/sites/default/files/files/9000032367.pdf, ,,,Renewables,Photovoltaic Solar,,,,,,,,,,,,,,,,
Multilateral,Asian Development Bank (ADB),Multilateral,Air Quality Improvement in the Greater Beijing-Tianjin-Hebei Regionâ€”China National Investment and Guaranty Corporation's Green Financing Platform    ,"$60,000,000 ",12/12/2016,East Asia,China,,People's Republic of China ,,,Oil Change International’s Shift the Subsidies Database,,"https://www.adb.org/projects/50096-002/main#project-pds    

https://www.adb.org/sites/default/files/project-document/217046/50096-002-rrp.pdf    

https://www.adb.org/sites/default/files/institutional-document/237881/od-appendix2.pdf    

https://www.treasury.gov/resource-center/international/development-banks/Documents/December16.pdf (see December 12, 2016)",,Renewables,Mixed,,,,,,,,,,,,,,,,
Multilateral,Asian Development Bank (ADB),Multilateral,Solar Rooftop Power Generation Project    ,"$225,000 ",12/14/2016,South Asia,Sri Lanka,,Government of Sri Lanka (??),,,Oil Change International’s Shift the Subsidies Database,,https://www.adb.org/projects/50373-001/main#project-pds,,Renewables,Solar,,,,,,,,,,,,,,,,
Multilateral,Inter-American Development Bank,Multilateral,Environmental and Social Management Capacity Building for ICE's Electricity Business Line,"$420,000 ",12/14/2016,Latin America & Caribbean,Costa Rica,,Instituto Costarricense de Electricidad (ICE),,,Oil Change International’s Shift the Subsidies Database,,"http://www.iadb.org/en/projects/project-description-title,1303.html?id=CR-T1149    

http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1620608443-3",,Renewables,Mixed,,,,,,,,,,,,,,,,
Multilateral,European Investment Bank (EIB),Multilateral,REYKJAVIK ENERGY GEOTHERMAL,"$82,183,500 ",12/15/2016,Europe,Iceland,EFTA countries,ORKUVEITA REYKJAVIKUR,,,http://www.eib.org/projects/loan/loan/20150480,,,,Renewables,Geothermal,,,Financial Close,,,,,,,,,,,,,
Multilateral,World Bank - IBRD/IDA,Multilateral,Third Programmatic Resilience Building Development Policy Credit,"$840,600 ",12/16/2016,Latin America & Caribbean,Grenada,,,,,World Bank Project Database Project Number: P156761,"Renewable Energy Geothermal 3%
Renewable Energy Solar 3%
Renewable Energy Wind 3%",http://projects.worldbank.org/P156761?lang=en&tab=details,,Renewables,"Geothermal, Solar, Wind",,,Financial Close,,,,,,,,,,,,,
South Korea,Export-Import Bank of Korea (Kexim),Export Credit & Insurance,Al Fujeij Wind Farm (89.1MW) PPP,"$64,000,000 ",12/16/2016,Middle East & North Africa,Jordan,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Onshore Wind,,,Financial Close,89.1,,,,89.1,,,,,,,,
Multilateral,World Bank - IBRD/IDA,Multilateral,BF - DPO series on Energy and PFM,"$19,000,000 ",12/20/2016,Sub-Saharan Africa,Burkina Faso,,,,,World Bank Project Database Project Number: P157060,Renewable Energy Solar 19%,http://projects.worldbank.org/P157060?lang=en&tab=details,,Renewables,Solar,,,Financial Close,,,,,,,,,,,,,
Multilateral,World Bank - IBRD/IDA,Multilateral,Senegal Rural Electrification Program,"$3,303,300 ",12/20/2016,Sub-Saharan Africa,Senegal,,,,,World Bank Project Database Project Number: P158709,"Renewable Energy Geothermal 13%
Renewable Energy Solar 13%
Renewable Energy Wind 13%",http://projects.worldbank.org/P158709?lang=en&tab=details,,Renewables,"Geothermal, Solar, Wind",,,Financial Close,,,,,,,,,,,,,
Multilateral,World Bank - IBRD/IDA,Multilateral,"Second Fiscal Consolidation, Sustainable Energy & Competitiveness DPF","$100,000,000 ",12/20/2016,Middle East & North Africa,Egypt,,,,,World Bank Project Database Project Number: P161228,"Renewable Energy Solar 5%
Renewable Energy Wind 5%",http://projects.worldbank.org/P161228?lang=en&tab=details,,Renewables,"Solar, Wind",,,Financial Close,,,,,,,,,,,,,
Japan,Japan Bank for International Cooperation (JBIC),Export Credit & Insurance,Malinau coal mines,"$24,000,000 ",12/22/2016,Southeast Asia,Indonesia,,"Idemitsu Kosan Co., Ltd",,,http://www.jbic.go.jp/en/information/press/press-2016/1222-52286,The loan is intended to provide financing for Idemitsu Kosan to acquire 30% shares of the Malinau coal mines located in the North Kalimantan province in Indonesia.,,,Coal Mining,Coal Mining,,"$40,000,000 ",Financial Close,,0,0,4,,,,,,,,,
China,Export-Import Bank of China,Export Credit & Insurance,Dushanbe Phase II (300MW),"$280,000,000 ",12/31/2016,Central Asia and Caucasus,Tajikistan ,Dushanbe,OJSC BARKI TOJIK,HUBEI-EP,HARBIN,https://frontnews.eu/news/en/10596,,"http://www.sourcewatch.org/index.php/Dushanbe-2_power_station
https://www.export.gov/article?id=Tajikistan-Power-Generation-and-Distribution",http://ru.sputnik-tj.com/country/20160209/1018386452.html,Coal Power Plant,Coal Power Plant - Expansion,Subcritical,,Financial Close,300,0.34,14,,,OJSC BARKI TOJIK,,HARBIN,,,38.610817,68.771867,GCPT
Germany,Euler Hermes,Export Credit & Insurance,Coal-fired power plant: steam turbines and generators,$0 ,12/31/2016,Central Asia and Caucasus,Mongolia,,,,,https://www.kfw-entwicklungsbank.de/Internationale-Finanzierung/KfW-Entwicklungsbank/Weltweite-Pr%C3%A4senz/Asien/Mongolei/,,,,Coal Power Plant,Efficiency Upgrades,,,Financial Close,13,0.01,1,,,,,,,,,,
Germany,Euler Hermes,Export Credit & Insurance,Nikola Tesla A power plant - modern ash transport system,"$45,000,000 ",12/31/2016,Central Asia and Caucasus,Serbia,,,,,https://www.kfw-entwicklungsbank.de/ipfz/Projektdatenbank%20/Modernisierung-des-Ascheentsorgungssystems-im-Kraftwerk-Nikola-Tesla-28566.htm,Parliamentary Inquiry June 2017,,,Coal Power Plant,Coal Power Plant,,,Financing,,0,0,,,,,,,WRI1020276,44.6551,20.0053,WRI
United States,Overseas Private Investment Corporation,Other Public Financer,"Greenlight Planet, Inc.","$5,000,000 ",12/31/2016,Global,Global,,"Greenlight Planet, Inc.",,,Oil Change International’s Shift the Subsidies Database,,"https://www.opic.gov/sites/default/files/files/2015annualreport.pdf (see p.38)

https://www.opic.gov/sites/default/files/files/greenlight-info-summary.pdf    

https://www.opic.gov/press-releases/2016/opic-and-greenlight-planet-partner-expand-grid-energy-access-developing-world",,Renewables,Solar,,,,,,,,,,,,,,,,
China,Export-Import Bank of China,Export Credit & Insurance,Kostolac mine exapnsion and power plant (350MW),"$715,000,000 ",1/1/2017,Europe,Serbia,,"Elektroprivreda Srbije, a Serbian electricity conglomerate",China Machinery and Engineering Corp,,https://tradefinanceanalytics.com/data/transaction/55642/elektroprivreda-srbije-715-million-0117,"has started the second phase of the modernization project of thermal power plant Kostolac B with the start of installation of excavatorconveyor-spreader (ECS) system at Drmno coalmine.
The project for the modernization of TPP Kostolac B also includes the construction of the new B3 unit with power output of 350 MW.

maturity of the loan is 20 years, with a 7- years grace period and fixed interest of 2.5 %.",http://serbia-energy.eu/serbia-second-phase-tpp-kostolac-b-modernization-started/,,Coal Power Plant,Mine and Plant,,,Financial Close,350,0.4,16,,,ELEKTROPRIVREDA SRBIJE (EPS),,,CMEC,,,,
United States,Overseas Private Investment Corporation,Other Public Financer,St. Elizabeth Parish Wind Farm (36.3 MW),"$29,250,000 ",1/1/2017,North America,Jamaica,St. Elizabeth Parish,BMR Jamaica Wind Limited,,,https://www.opic.gov/sites/default/files/files/5222017130IG.pdf, ,,,Renewables,Onshore Wind,,"$89,600,000 ",,0,,,,,,,,,,,,
China,Export-Import Bank of China,Export Credit & Insurance,Alam Banskhali Chittagong Power Plant (1320MW),"$1,739,000,000 ",1/9/2017,South Asia,Bangladesh,"Bankshali, Chittagong",S Alam Group,China's SEPCOIII Electric Power Construction Corp,,http://www.observerbd.com/details.php?id=52390,"China to finance 70% of 2.4 billion; 265 km (165 miles) southeast of Dhaka, expected to begin power generation by the end of 2019.",http://www.reuters.com/article/us-bangladesh-power-protest-idUSKBN15H0L3,"http://www.theindependentbd.com/printversion/details/34267

http://www.globalconstructionreview.com/news/more-death-and-injury-mar-chine7se-back7ed-co7al/",Coal Power Plant,Coal Power Plant - New,Supercritical,,Financing,1320,1.5,60,,,,,,,,,,
South Korea,Korea Development Bank,Other Public Financer,KalSel (Tabalong) Coal-Fired Power Plant (200MW),"$87,830,000 ",1/18/2017,Southeast Asia,Indonesia,South Kalimantan,Adaro Energy,,,IJ Global: Project Finance and Infrastructure Journal,,"https://ijglobal.com/data/transaction/32622/kalsel-coal-fired-power-plant-200mw
",https://www.falcongrp.com/wp-content/uploads/2016/07/TF-Mag-July-16-web.pdf,Coal Power Plant,Coal Power Plant - New,Subcritical,,Financial Close,100,0.11,5,,,ADARO POWER/KOREA EAST-WEST,SHI,,HYUNDAI,,,,
South Korea,Korea Trade Insurance Corporation (K-sure),Export Credit & Insurance,KalSel (Tabalong) Coal-Fired Power Plant (200MW),"$401,000,000 ",1/18/2017,Southeast Asia,Indonesia,South Kalimantan,Adaro Energy,,,IJ Global: Project Finance and Infrastructure Journal,,"https://ijglobal.com/data/transaction/32622/kalsel-coal-fired-power-plant-200mw
",https://www.falcongrp.com/wp-content/uploads/2016/07/TF-Mag-July-16-web.pdf,Coal Power Plant,Coal Power Plant - New,Subcritical,,Financial Close,100,0.11,5,,,ADARO POWER/KOREA EAST-WEST,SHI,,HYUNDAI,,,,
Multilateral,World Bank - International Finance Corporation,Multilateral,Jordan One Solar PV Plant (66.4MW) PPP,"$2,400,000 ",2/2/2017,Middle East & North Africa,Jordan,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Photovoltaic Solar,,,Financial Close,33.2,,,,33.2,,,,,,,,
Multilateral,World Bank - International Finance Corporation,Multilateral,Jordan One Solar PV Plant (66.4MW) PPP,"$76,000,000 ",2/2/2017,Middle East & North Africa,Jordan,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Photovoltaic Solar,,,Financial Close,33.2,,,,33.2,,,,,,,,
China,China Export & Credit Insurance Corporation (Sinosure),Export Credit & Insurance,solar modules for a photo voltaic project,"$145,000,000 ",2/7/2017,Latin America & Caribbean,Brazil,,ENEL,,JA Solar Holdings,https://tradefinanceanalytics.com/data/transaction/55654/ja-solar-holdings,,,,Renewables,,,,Financial Close,,,,,,,,,,,,,
Multilateral,World Bank - IBRD/IDA,Multilateral,Indonesia: Geothermal Energy Upstream Development Project,"$49,000,000 ",2/9/2017,Southeast Asia,Indonesia,,,,,World Bank Project Database Project Number: P155047,,http://projects.worldbank.org/P155047?lang=en&tab=details,,Renewables,Geothermal,,,Financial Close,,,,,,,,,,,,,
Multilateral,World Bank - IBRD/IDA,Multilateral,ID-Geothermal Energy Upstream Development,"$6,250,000 ",2/9/2017,Southeast Asia,Indonesia,,,,,World Bank Project Database Project Number: P161644,,http://projects.worldbank.org/P161644?lang=en&tab=details,,Renewables,Geothermal,,,Financial Close,,,,,,,,,,,,,
Australia,Australian Renewable Energy Agency,Other Public Financer,Kidston PV Solar Plant Phase 1 (50MW),"$6,780,000 ",2/13/2017,Oceania,Australia,"Ashmore and Cartier Islands, Canberra, Coral Sea Islands, New South Wales, Northern Territory, Queensland, South Australia, Tasmania, Victoria, Western Australia","Marguerite Fund, WPD, PKA Group, Siemens Financial Services, Industriens Pensionsforsikring A/S, CDC Infrastructure, and EWZ.", ,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Photovoltaic Solar,,"$1,481,360,000 ",Financial Close,288,,,,288,,,,,,,,
Multilateral,World Bank - International Finance Corporation,Multilateral,Chint New Energy,"$50,000,000 ",2/15/2017,East Asia,China,"CNE is headquartered in Hangzhou, China. &nbsp;The proceeds of the IFC investment is expected to be used for projects in emerging economies outside of China, such as Turkey, Pakistan and Thailand.","CNE is currently majority-owned by Chint Group and is in the process of a major asset reorganization by which CNE will ultimately be 100% owned by Zhejiang Chint Electrics Co. Ltd. ('Chint Electric' or 'CE'). The process is expected to be completed by end of CY2016.&nbsp; Chint Electric, majority-owned by Chint Group, is a China-based company principally engaged in manufacturing and distribution of low voltage electrical devices.&nbsp; It is listed on the Shanghai Stock Exchange (SHA 601877). Chint Group was founded by Mr. Nan, Cunhui in 1984 and is a leader in the Chinese industrial electrical equipment production and clean energy sectors.&nbsp;",CHINT SOLAR (HONG KONG) COMPANY LIMITED,,World Bank Project Database Project number 38815,"Chint New Energy Development (Zhejiang) Co. Ltd. ('CNE' or 'Company'), founded in 2006, is one of the&nbsp;leading private renewable companies in China. CNE and its subsidiaries are engaged in solar downstream project investment and operation, PV manufacturing and EPC, both in China and overseas. &nbsp;As of&nbsp;Dec 2016, the Company operates close to 2GW of downstream projects in China and overseas and manufactures PV modules of 2GWh in capacity.&nbsp; IFC is providing a corporate financing facility for development and construction of CNE's downstream solar projects in emerging markets outside of China, such as Turkey, Pakistan and Thailand.",,,Renewables,Solar,N/A," The proposed investment is a corporate loan of up to US$ 150million, including an A loan of up to US$ 50million and a B loan and/or MCPP loan of up to US$ 100million to CNE or one of its subsidiaries. &nbsp; ",Financial Close,,,,,,,,,,,,,
Multilateral,World Bank - IBRD/IDA,Multilateral,Guarantee for Scaling Solar,"$3,500,000 ",2/16/2017,Sub-Saharan Africa,Zambia,,,,,World Bank Project Database Project Number: P157943,,http://projects.worldbank.org/P157943?lang=en&tab=details,,Renewables,Solar,,,Financial Close,,,,,,,,,,,,,
China,Export-Import Bank of China,Export Credit & Insurance,Captive coal-fired power plant (300MW),"$700,000,000 ",2/20/2017,Southeast Asia,Indonesia,,"Guangdong Guangxin Holdings Group,",,,https://tradefinanceanalytics.com/data/transaction/50640/guangdong-guangxin-holdings-group,8-year committed unsecured facility , along with Bank of China and ICBC,,,Coal Power Plant,Coal Power Plant - Captive,,,Financial Close,,0,0,,,,,,,,,
Japan,Nippon Export and Investment Insurance (NEXI),Export Credit & Insurance,Tanjung Jati B Unit 5 and 6 (2000MW),"$1,678,000,000 ",2/24/2017,Southeast Asia,Indonesia,,PT. Bhumi Jati Power (BJP),SUMITOMO CORPORATION and The Kansai Electric Power Company,,http://www.4-traders.com/news/Project-Finance-for-Re-expansion-of-Tanjung-Jati-B-Coal-Fired-Power-Plant-in-Indonesia-Supporting--23945472/,JBIC and NEXI ,http://www.nexi.go.jp/en/environment/a/2016061404.html,,Coal Power Plant,Coal Power Plant - Expansion,Ultrasupercritical,"$4,194,030,000 ",Financial Close,1000,1.14,46,,,,,,,,,,
Japan,Japan Bank for International Cooperation (JBIC),Export Credit & Insurance,Tanjung Jati B Unit 5 and 6 (2000MW),"$1,678,000,000 ",2/24/2017,Southeast Asia,Indonesia,,PT. Bhumi Jati Power (BJP),SUMITOMO CORPORATION and The Kansai Electric Power Company,,IJ Global: Project Finance and Infrastructure Journal,JBIC and NEXI ,http://www.jbic.go.jp/en/efforts/environment/projects/48649,,Coal Power Plant,Coal Power Plant - Expansion,Ultrasupercritical,"$4,194,030,000 ",Financial Close,1000,1.14,46,,,,,,,,,,
France,Agence Francaise de Development - Proparco,Other Public Financer,Empire Solar PV Plant (67MW) PPP,"$35,500,000 ",2/28/2017,Middle East & North Africa,Jordan,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Photovoltaic Solar,,,Financial Close,33.5,,,,33.5,,,,,,,,
Germany,Kreditanstalt für Wiederaufbau (KfW),Other Public Financer,Hornsdale Wind Farm Phase 3 (109MW),"$57,650,000 ",2/28/2017,Oceania,Australia,South Australia,Neoen and  John Laing,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Onshore Wind,,"$211,840,000 ",Financial Close,109,,,,109,KfW,,,,,,,
Multilateral,European Bank for Reconstruction and Development,Multilateral,Empire Solar PV Plant (67MW) PPP,"$35,500,000 ",2/28/2017,Middle East & North Africa,Jordan,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Photovoltaic Solar,,"$95,000,000 ",Financial Close,33.5,,,,33.5,,,,,,,,
Multilateral,World Bank - IBRD/IDA,Multilateral,FODER - Argentina Renewable Fund Guarantee,"$384,000,000 ",2/28/2017,Latin America & Caribbean,Argentina,,,,,World Bank Project Database Project Number: P159901,"Renewable Energy Solar 40%
Renewable Energy Wind 40%",http://projects.worldbank.org/P159901?lang=en,,Renewables,"Solar, Wind",,,Financial Close,,,,,,,,,,,,,
China,China Development Bank,Other Public Financer,Pirapora I PV Portfolio (184.21 MW),"$6,400,000 ",3/6/2017,Latin America & Caribbean,Brazil,,Canadian Solar and EDF Energies Nouvelles do Brasil,,,https://www.bnef.com/FundsCommitted/96174,,,,Renewables,Photovoltaic Solar,,,Financial Close,184,,,,,,,,,,,,
Multilateral,European Investment Bank (EIB),Multilateral,SAINSHAND SALKHIN PARK LLC,"$53,100,000 ",3/9/2017,Central Asia and Caucasus,Mongolia,Asia and Latin America,ACCEPTABLE CORPORATE(S),,,http://www.eib.org/projects/pipelines/pipeline/20140699,1 EUR = 1.18 USD,,,Renewables,Wind,N/A,"$112,100,000 ",Signed,54,,,,,,,,,,,,
Multilateral,Asian Development Bank (ADB),Multilateral,Karnataka Wind Farm (110MW),"$1,040,000 ",3/9/2017,South Asia,India,Karnataka,ReNew Power Ventures,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Onshore Wind,,"$35,590,000 ",Financial Close,110,,,,110,,,,,,,,
Australia,Australian Renewable Energy Agency,Other Public Financer,"Whitsunday, Hamilton and Gannawarra PV Solar Farms","$7,140,000 ",3/10/2017,Oceania,Australia,"Queensland, Victoria","Edify Energy, and Wirsol",,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Photovoltaic Solar,,"$266,990,000 ",Financial Close,165,,,,165,,,,,,,,
Multilateral,European Investment Bank (EIB),Multilateral,MALDIVES SUSTAINABLE ENERGY DEVELOPMENT,"$52,832,250 ",3/10/2017,South Asia,Maldives,Asia and Latin America,PUBLIC ENTITY(IES),,,http://www.eib.org/projects/loan/loan/20130598,,,,Renewables,,,,Financial Close,,,,,,,,,,,,,
Multilateral,Inter-American Investment Corporation,Multilateral,"Cabilsol, Panquehue and Chimbarongo Solar PV Plants (13.17MW)","$9,800,000 ",3/15/2017,Latin America & Caribbean,Chile,,Grenergy,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Photovoltaic Solar,,"$9,800,000 ",Financial Close,13.17,,,,13,Inter-American Development Bank,,,,,,,
Japan,Japan Bank for International Cooperation (JBIC),Export Credit & Insurance,Muara Laboh geothermal power plant (80MW),"$198,000,000 ",3/23/2017,Southeast Asia,Indonesia,South Solok in West Sumatra, PT Supreme Energy Muara Laboh ,,,https://tradefinanceanalytics.com/data/transaction/55639/supreme-energy-muara-laboh,"The $439 million package $198 million loan from JBIC, $109 million of loans from the Asian Development Bank and $132 million from Bank of Tokyo-Mitsubishi UFJ, Mizuho and SMBC",https://ijglobal.com/data/transaction/37541?name=Muara%20Laboh%20Geothermal%20Power%20Plant%20(80MW)%20PPP&link=%2Farticles%2F105528%2Ffinancial-close-for-muara-laboh-geothermal,,Renewables,Geothermal,,,Financial close,26.67,,,,26.7,,,,,,,,
Japan,Nippon Export and Investment Insurance (NEXI),Export Credit & Insurance,Muara Laboh geothermal power plant (80MW),"$132,000,000 ",3/23/2017,Southeast Asia,Indonesia,South Solok in West Sumatra, PT Supreme Energy Muara Laboh ,,,https://tradefinanceanalytics.com/data/transaction/55639/supreme-energy-muara-laboh,"The $439 million package $198 million loan from JBIC, $109 million of loans from the Asian Development Bank and $132 million from Bank of Tokyo-Mitsubishi UFJ, Mizuho and SMBC",https://ijglobal.com/data/transaction/37541?name=Muara%20Laboh%20Geothermal%20Power%20Plant%20(80MW)%20PPP&link=%2Farticles%2F105528%2Ffinancial-close-for-muara-laboh-geothermal,,Renewables,Geothermal,,,Financial close,26.67,,,,26.7,,,,,,,,
Multilateral,Asian Development Bank (ADB),Multilateral,Muara Laboh geothermal power plant (80MW),"$109,000,000 ",3/23/2017,Southeast Asia,Indonesia,South Solok in West Sumatra, PT Supreme Energy Muara Laboh ,,,https://tradefinanceanalytics.com/data/transaction/55639/supreme-energy-muara-laboh,"The $439 million package $198 million loan from JBIC, $109 million of loans from the Asian Development Bank and $132 million from Bank of Tokyo-Mitsubishi UFJ, Mizuho and SMBC",https://ijglobal.com/data/transaction/37541?name=Muara%20Laboh%20Geothermal%20Power%20Plant%20(80MW)%20PPP&link=%2Farticles%2F105528%2Ffinancial-close-for-muara-laboh-geothermal,,Renewables,Geothermal,,,Financial close,26.67,,,,26.7,,,,,,,,
Australia,Australian Renewable Energy Agency,Other Public Financer,Manildra PV Solar Farm (48.5MW),"$7,470,000 ",3/24/2017,Oceania,Australia,New South Wales,First Solar,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Photovoltaic Solar,,"$86,690,000 ",Financial Close,48.5,,,,49,,,,,,,,
